,tweet_author,tweet_text
2182,syed abutalib,exclusive  astrazeneca s calquence shows early promise for covid    patients https   t co whfubt m s
2183,mathieu rappas,https   t co ufmm uxbe 
2184,cision news,astrazeneca initiates calavi clinical trial with calquence against covid    https   t co pimicc  jz
2185,forbes science,the blood cancer drug has been given to a small number of sick u s  patients and massive clinical trials are being launched to determine its efficacy  as well as that of imbruvica   https   t co x yx l nhk https   t co jofrctseh 
2186,dabloguiman,something to keep an eye on  acalabrutinib seems to have potent anti inflammatory effect and suppresses the cytokine storm associated with late  covid    covid  ards  covid      https   t co vzpz k o p
2187,s wanee,exclusive  astrazeneca s calquence shows early promise for covid    patients https   t co uedwifxrjg
2188,pengyu yang,btk inhibitors have an anti inflammatory benefit  potentially for cytokine storm   astrazeneca s calquence shows early promise for covid    patients https   t co oagkxlwlks
2189,michael blaiss  md,exclusive  astrazeneca s calquence shows early promise for covid    patients https   t co rggor  okv
2190,peterdfokes, within    hours the company had completed drafting a covid    clinical trial  amp  submitted it to the fda  the fastest study he has ever seen put together in his    year career    astrazeneca s calquence shows early promise for covid    patients via  forbes https   t co fnygpcr  p
2191,kenneth farber,could btk inhibitors attenuate cytokine storm caused by covid    exclusive  astrazeneca s calquence shows early promise for covid    patients https   t co pprkiouiqe
2192,cafepharma,exclusive  astrazeneca s calquence shows early promise for covid    patients https   t co sqec nwasf
2193,buried on page ,exclusive  astrazeneca s calquence shows early promise for covid    patients https   t co g mddxsbf 
2194,chris manfuso,exclusive  astrazeneca s calquence shows early promise for covid    patients https   t co rzjlcmxmxg https   t co  onfxrhozm
2195,shouting at people in my underpants,exclusive  astrazeneca s calquence shows early promise for covid    patients https   t co bufeqntplg amazing discovery   acalabrutinib  amp  ibrutinib  the latter drug was my  cll drug  appear to be useful in damping down cytokine storm that is killing some  covid   patients
2196,eipg,astrazeneca s calquence shows early promise for covid    patients via  forbes https   t co xjqogpj wp
2197,mm   ,                                                        astrazeneca s calquence shows early promise for covid    patients https   t co gf ch xusy
2198,vineeth sukrithan, astrazeneca is advising doctors to give the drug through a tube in a solution made up of coca cola  which due to its acidity properly liquefies the powder    acalabrutinib and coca cola to the rescue  who knew  covid    covid      davidsteensma  drsidmukherjee  erictopol
2199,maria badillo  msn rn ocn ccrp,very interesting  well  since our team is well versed with both calquence and imbruvica  we can help out with patient education  that s just a thought    https   t co  bidgnwwp 
2200,    ,awesomecapital  astrazeneca s calquence shows early promise for co    https   t co zs usl zed
2201,john p  leonard  md,btk inhibitors for covid    hmmm     https   t co rkleewshps
2202,howard green  md,wow  btk inhibitors in late stage severe coronavirus infections  astrazeneca s calquence shows early promise for covid    patients https   t co rflcycmcxb
2203,john nosta,astrazeneca s calquence shows early promise for  covid   patients via  forbes https   t co  ourrgsvq   coronavirus
2204,joe,if it was a    m mcap company claiming treatment for  covid   with cancer drug i will pass  but this is  azn if calquence  amp  imbruvica are known as btki works  so  tapto     too   astrazeneca s calquence shows early promise for covid    patients via  forbes https   t co t ajx h  e
2205,  datos digital,exclusive  astrazeneca s calquence shows early promise for covid    patients    analytics  googleads  facebookads https   t co ilupbek q 
2206,grant beasley, apto   interesting discussion in forbes on btk inhibitors being used in covid patients  exclusive  astrazeneca s calquence shows early promise for covid    patients via  forbes https   t co z nrycmbae
2207,kristen breland,exclusive  astrazeneca s calquence shows early promise for covid    patients via  forbes https   t co kyv    vsi
2208,joel padre,exclusive  astrazeneca s calquence shows early promise for covid    patients via  forbes https   t co y  osohkan
2209,the peoples pharmacy,exclusive  astrazeneca s calquence shows early promise for covid    patients   forbes https   t co hkyaz  o v
2210,steven bertoni,is this the shelter from the cytokine storm  astrazeneca s calquence shows early promise for covid    patients via  forbes https   t co ukek ukkpr
2211,dr timos papagatsias,exclusive  astrazeneca s calquence shows early promise for covid    patients https   t co  ojroprhow  gt  gt  gt  https   t co hta isohwv  strategy  competitiveintelligence  marketing  pharmaceutical  healthcare  biotech  productmarketing  pharma https   t co aeigf  dcr
2212,dots kate,         calquence    https   t co  q i tyndg
2213,michael noer,exclusive  astrazeneca s calquence shows early promise for covid    patients  forbes  nathanvardi
2214,global capital asset management, british drug giant  astrazeneca is rushing forward a big clinical trial for its blood cancer drug calquence because it has shown early promising results in later stage covid    patients those in intensive care units and on  ventilators  https   t co m etkegvdo
2215,pharmafactz,   tyrosine kinase inhibitors   suffix  tinib   imatinib   cml and all  erlotinib   non small cell lung cancer  sunitinib   renal cell carcinoma  acalabrutinib   mantle cell lymphoma  lapatinib   breast cancer  dasatinib   ph  cml   all  nilotinib   cml  bosutinib   cml
2216,antoine gara,big exclusive from my colleague  nathanvardi https   t co  dehvlehto could the biggest coronavirus breakthrough come from a leukemia drug 
2217,whatmoney,https   t co fd ttzsuns     https   t co fd ttzsuns 
2218,omondi nyangla,british drug giant  astrazeneca is rushing forward a big clinical trial for its blood cancer drug calquence because it s shown early promising results in later stage covid    patients those in intensive care units and on ventilators https   t co  mrramttea https   t co  f ipcx  x
2219,forbes,british drug giant astrazeneca is rushing forward a big clinical trial for its blood cancer drug calquence because it has shown early promising results in later stage covid    patients those in intensive care units and on ventilators https   t co lfpqw tmpp https   t co  h gc flfl
2220,matthew herper,another interesting approach against covid     btk inhibitors  by  nathanvardi  https   t co isg juidmp
2221,dough, azn forecast best in class growth          e sales cagr  with dramatic underlying ebit margin growth from     fy  a to     fy  e  driving mid teens ebit cagr  an impressive launch portfolio  key launches include calquence in cll  recently approved  enhertu  in post kadcyla https   t co mupmltzvfp
2222,janet novack,exclusive  astrazeneca s calquence shows early promise for covid    patients via  forbes https   t co avhp yfuvf
2223,health news, exclusive  astrazeneca s calquence shows early promise for covid    patients  https   t co lkjimvc  d  health  pharma
2224,nathan vardi,   astrazeneca rushing forward     patient trial for calquence in covid    patients  here is my exclusive story  let me explain why it s important  https   t co pfceghkquu
2225,chicagoschoolofyoga,exclusive  astrazeneca s calquence shows early promise for covid    patients https   t co kcxtrrmcmg https   t co dipya rdbj
2226,benexact,exclusive  astrazeneca s calquence shows early promise for covid    patients https   t co mxc ykeic  https   t co twbizguan 
2227,onclive com,btk inhibitors  such as ibrutinib and acalabrutinib  have dramatically changed the treatment landscape of cll  says  awandoc of  utswnews  leukemia https   t co akjrjl rsu
2228,raul cordoba  md  phd, oncoalert  acalabrutinib monotherapy in patients with relapsed refractory chronic lymphocytic leukemia  cll  updated phase   results     bloodjournal    american society of hematology   ash hematology   cllsm  leusm  lymsm  https   t co mdiddahptk
2229,benlazar s m amin ,acalabrutinib monotherapy in patients with relapsed refractory chronic lymphocytic leukemia  updated phase   results   blood   american society of hematology  cll  leusm https   t co enyjznsw m https   t co irc orhg b
2230,garbi e lizeaga,antitumor potency of an anti cd   chimeric antigen receptor t cell therapy  lisocabtagene maraleucel in combination with ibrutinib or acalabrutinib https   t co bpyfwo   y
2231,aloysius pendergast,acalabrutinib monotherapy in patients with relapsed refractory chronic lymphocytic leukemia  updated phase   results   blood   american society of hematology https   t co gm jy uxyk
2232,tribeca  knowledge,jefferies analysts suggest the biggest hit to pharma companies from coronavirus in the european union will be on new drug launches like novo nordisk s rybelsus or astrazeneca s calquence      are you involved in launching a new medicine in       then our free new launch guid  https   t co je u ton  
2233,tribeca  knowledge,jefferies analysts suggest the biggest hit to pharma companies from coronavirus in the european union will be on new drug launches like novo nordisk s rybelsus or astrazeneca s calquence      are you involved in launching a new medicine in       then our  https   t co rvcoc gqzz https   t co vewzkryato
2234,onclive com,the addition of acalabrutinib to the combination of venetoclax and obinutuzumab was shown to be highly active in patients with newly diagnosed cll  eliciting deep and durable responses that improved over time  leukemia  danafarber https   t co oxbu  e ss
2235,dough, abbv catalysts  close  agn acquisition in  may           rinvoq ph   data in atopic derm in mid      skyrizi ph   motivate  data in cd induction in       bi voltaire x interchangeability study read out on biosimilar humira  head to head calquence  imbruvica data in r r cll      
2236,ali alahmari ,second generation btk inhibitors impair the anti fungal response of macrophages and neutrophils from cll patients   acalabrutinib has potential risk of infections by it impairs the anti microbial  innate immune response https   t co mybnozskfe
2237,paperbirds hematology,new article  acalabrutinib and its therapeutic potential in the treatment of chronic lymphocytic leukemia  a short review on emerging data  https   t co yrhwrxwsl   cll  leusm  hematology
2238,onclive com,benjamin l  lampson  md  phd  of  danafarber discusses the primary efficacy and safety findings from the ongoing phase ii trial with acalabrutinib  venetoclax  and obinutuzumab in frontline cll  leukemia https   t co vspgfpi k 
2239,crwe world,acalabrutinib triplet impresses in frontline cll  advances to phase iii study https   t co ji wbussoj
2240,onclive com,acalabrutinib triplet impresses in frontline cll  advances to phase iii study  leukemia  danafarber https   t co  fohpzhug 
2241,conquer the patient voice,results of a new study showed that almost half of the patients with chronic lymphocytic leukemia  cll  responded to initial treatment with a   drug combination therapy  including calquence  gazyva  and venclexta sequentially  https   t co  brs  fszu
2242,targeted oncology,dr  sharman discussed the secondary end points from the phase iii elevate tn trial  which evaluated the role of acalabrutinib  either as a single agent or in combination with obinutuzumab in treatment naive chronic lymphocytic leukemia  https   t co tabcasruqq  leusm  leukemias
2243,cancernetwork   home of the journal oncology , icymi  lori leslie  md  from the john theurer cancer center noted the importance of real world data in determining potentially different toxicity profiles in these btk inhibitors     lorilesliemd  jtcancercenter https   t co etagmyy mz https   t co zcpf zmtuc
2244,pharmafactz,  tyrosine kinase inhibitors   prefix  inib   imatinib   cml and all  erlotinib   non small cell lung cancer  sunitinib   renal cell carcinoma  acalabrutinib   mantle cell lymphoma  lapatinib   breast cancer  dasatinib   ph  cml   all  nilotinib   cml  bosutinib   cml
2245,michael rynne,will this  acalabrutinib  early access programme extend to irish patients who have few first line options   janrynne  cllireland https   t co tehcmimr f
2246,targeted oncology,overall  dr  sharman said it is important to alert patients that headaches as an adverse event can occur with this treatment  but these do tend to pass in time  according to these findings  https   t co tabcasruqq  cllsm  leusm
2247,onclive soss,  awandoc discusses the utilization of acalabrutinib in patients with chronic lymphocytic leukemia  utswnews  leusm https   t co pwdjecrjwf
2248, siguemeytesigodevuelta, para cu les condiciones o enfermedades se prescribe el acalabrutinib  https   t co   vdonpm y
2249,toby eyre,great news for  cll pts in the uk that  astrazeneca will provide  acalabrutinib for frontline patients during the  covid   era in an early access programme    great to see industry supportive in these challenging times     cll  lymsm  covid  
2250, siguemeytesigodevuelta,https   t co jkejnj mk 
2251,vjhemonc,video  acalabrutinib  venetoclax and obinutuzumab upfront for  cll w   drmdavids of  danafarber  https   t co xkmp zdsid   leusm  immunoonc  ash    ash hematology  vjhemonc
2252,naturerevclinoncol,in a phase ii trial in pts with r r cll  the btk inhibitor acalabrutinib was well tolerated and yielded an orr of        and an estimated    month pfs of       with bid dosing  vs       and        respectively  with qd dosing  https   t co wawzjz blt  leusm
2253,ali alahmari ,clinical and biological implications of target occupancy in cll treated with the btk inhibitor acalabrutinib   blood   american society of hematology https   t co l iaerrga 
2254,value based cancer care,acalabrutinib monotherapy in patients with relapsed refractory cll     month follow up of a phase   study https   t co th yx bu l
2255,clinowl haematology,clinical and biological implications of target occupancy in cll treated with the btk inhibitor acalabrutinib  https   t co  n foelaiu    haematology  thewiderwiserview
2256,iwmf,new iwmf acalabrutinib and      updated rituximab fact sheets  https   t co xqw f w y 
2257,paperbirds hematology,new article  clinical and biological implications of target occupancy in cll treated with the btk inhibitor acalabrutinib  https   t co t   eqkv l  cll  leusm  hematology
2258,javier de la serna,acalabrutinib plus obinutuzumab in treatment naive and relapsed refractory chronic lymphocytic leukemia https   t co es oefyuvp
2259,the james,a therapy developed at the james is improving quality of life for some  leukemia patients by reducing side effects associated with previous drugs  learn more about acalabrutinib  which was recently approved for the treatment of  cll and other blood cancers 
2260,anthony mato,very proud of my former student krista isaac for writing this excellent review  acalabrutinib and its therapeutic potential in the treatment of chroni   cmar   uva   https   t co xrcu bjmt 
2261,oncology tube,phase   elevate tn study in cll  seattlecca  chaitra ujjani  md  associate professor   seattlecca university of washington  fred hutchinson cancer research center  tells us about the results of the phase   elevate tn study  investigating acalabrutinib  https   t co     h snuw https   t co ju xr jv r
2262,the asco post,acalabrutinib plus obinutuzumab superior to obinutuzumab plus chlorambucil as front line treatment of cll https   t co  mjjsculk   leusm  hematology  ash  
2263,cancer discovery,from the march issue  acalabrutinib plus obinutuzumab in treatment na ve and relapsed refractory chronic lymphocytic  leukemia   ohiostate  cll  clinicaltrial https   t co hxcc jgdvh https   t co bkonlyhoqi
2264,the asco post,acalabrutinib plus obinutuzumab superior to obinutuzumab plus chlorambucil as front line treatment of cll https   t co  mjjsccksv  leusm  hematology
2265,motilal oswal financial services ltd,the receipt of this import and market permission paves way for the launch of acalabrutinib    mg capsules  calquence  in india  subject to the receipt of related statutory approvals and licenses   momarketupdates
2266,medical dialogues,astrazeneca pharma india gets dcgi nod for calquence acalabrutinib    mg capsules  astrazeneca pharma india  drugs controller general of india  acalabrutinib capsules  lymphocytic leukaemia  dcgi  astrazeneca https   t co a  xty  hr
2267,onclive soss,  drmdavids  of  danafarber  discusses exciting data with acalabrutinib in chronic lymphocytic leukemia  leusm https   t co q zhnjwwqt
2268,the paper link,trend up        overman m  et al  j immunother cancer    randomized phase ii study of the bruton tyrosine kinase inhibitor acalabrutinib  alone or with pembrolizumab in patients with advanced pancreatic cancer   https   t co cwvodyeyoc
2269,iiflmarkets,astrazeneca pharma received import and market permission from dcgi for calquence https   t co  u gv zwpy
2270,the paper link,trend up       overman m  et al  j immunother cancer    randomized phase ii study of the bruton tyrosine kinase inhibitor acalabrutinib  alone or with pembrolizumab in patients with advanced pancreatic cancer   https   t co cwvodyeyoc
2271,the paper link,trend up        overman m  et al  j immunother cancer    randomized phase ii study of the bruton tyrosine kinase inhibitor acalabrutinib  alone or with pembrolizumab in patients with advanced pancreatic cancer   https   t co cwvodyeyoc
2272,the paper link,trend up        overman m  et al  j immunother cancer    randomized phase ii study of the bruton tyrosine kinase inhibitor acalabrutinib  alone or with pembrolizumab in patients with advanced pancreatic cancer   https   t co cwvodyeyoc
2273,the paper link,trend up        overman m  et al  j immunother cancer    randomized phase ii study of the bruton tyrosine kinase inhibitor acalabrutinib  alone or with pembrolizumab in patients with advanced pancreatic cancer   https   t co cwvodyeyoc
2274,the paper link,trend up         overman m  et al  j immunother cancer    randomized phase ii study of the bruton tyrosine kinase inhibitor acalabrutinib  alone or with pembrolizumab in patients with advanced pancreatic cancer   https   t co cwvodyeyoc
2275,the paper link,trend new   overman m  et al  j immunother cancer    randomized phase ii study of the bruton tyrosine kinase inhibitor acalabrutinib  alone or with pembrolizumab in patients with advanced pancreatic cancer   https   t co cwvodyeyoc
2276,dr timos papagatsias,astrazeneca pharma india ltd receives permission for calquence  from dcgi   equity bulls https   t co   blpivskh  gt  gt  gt  https   t co hta isohwv  strategy  competitiveintelligence  marketing  pharma  healthcare  biotech  pharmaceutical  productmarketing https   t co odkziryszz
2277,equitybulls com,astrazeneca pharma india ltd receives permission for calquence  from dcgi   astrazenecapharmaindia  permission  calquence  dcgi   https   t co ufj nzmgv  https   t co gjnslghjez
2278,dr  luis villela,hi dr  michaelwangmd  can i ask you about use of acalabrutinib in first line in mcl  i know acala si off label in first line but  any experience in first line combining cytarabine 
2279,tap clinical trial network,our tc  bec  was pleased to open  derriford hosp to recruitment for stellar yesterday  we look forward to working with you on this phase ii  randomised study of chop r in combination with acalabrutinib compared to chop r in patients with newly diagnosed  richterssyndrome 
2280,the paper link,trend up        overman m  et al  j immunother cancer    randomized phase ii study of the bruton tyrosine kinase inhibitor acalabrutinib  alone or with pembrolizumab in patients with advanced pancreatic cancer   https   t co cwvodyeyoc
2281,the paper link,trend up        overman m  et al  j immunother cancer    randomized phase ii study of the bruton tyrosine kinase inhibitor acalabrutinib  alone or with pembrolizumab in patients with advanced pancreatic cancer   https   t co cwvodxwxpc
2282,the paper link,trend up        overman m  et al  j immunother cancer    randomized phase ii study of the bruton tyrosine kinase inhibitor acalabrutinib  alone or with pembrolizumab in patients with advanced pancreatic cancer   https   t co cwvodyeyoc
2283,the paper link,trend up        overman m  et al  j immunother cancer    randomized phase ii study of the bruton tyrosine kinase inhibitor acalabrutinib  alone or with pembrolizumab in patients with advanced pancreatic cancer   https   t co cwvodyeyoc
2284,the paper link,trend up        overman m  et al  j immunother cancer    randomized phase ii study of the bruton tyrosine kinase inhibitor acalabrutinib  alone or with pembrolizumab in patients with advanced pancreatic cancer   https   t co cwvodyeyoc
2285,the paper link,trend new   overman m  et al  j immunother cancer    randomized phase ii study of the bruton tyrosine kinase inhibitor acalabrutinib  alone or with pembrolizumab in patients with advanced pancreatic cancer   https   t co cwvodyeyoc
2286,the paper link,trend new   overman m  et al  j immunother cancer    randomized phase ii study of the bruton tyrosine kinase inhibitor acalabrutinib  alone or with pembrolizumab in patients with advanced pancreatic cancer   https   t co cwvodxwxpc
2287,the paper link,trend new   overman m  et al  j immunother cancer    randomized phase ii study of the bruton tyrosine kinase inhibitor acalabrutinib  alone or with pembrolizumab in patients with advanced pancreatic cancer   https   t co cwvodyeyoc
2288,paperbirds hematology,new article  rumpel leede phenomenon in a patient with chronic lymphocytic leukemia treated with acalabrutinib  https   t co obibwiwmo   cll  leusm  hematology
2289,aus gov  news,tag   auspar  acalabrutinib https   t co rmnghjn f 
2290,tga australia,new  auspar for  calquence   acalabrutinib  for the treatment of chronic lymphocytic  leukaemia  cll  small lymphocytic  lymphoma  sll   https   t co zjd  qybl  https   t co  y fpf ebl
2291,the paper link,trend new   overman m  et al  j immunother cancer    randomized phase ii study of the bruton tyrosine kinase inhibitor acalabrutinib  alone or with pembrolizumab in patients with advanced pancreatic cancer   https   t co cwvodyeyoc
2292,onclive com,watch  dr  awan on utilizing acalabrutinib in  cll  leukemia  utswcancer  awandoc https   t co ldjuvs fuy
2293,onclive soss,  awandoc on utilizing acalabrutinib in cll  utswcancer  utswnews  leusm https   t co pwdjeciuup
2294,targeted oncology,dr  ryan discussed the data on how physicians are currently using acalabrutinib as treatment of patients with mantle cell lymphoma in the real world setting  https   t co ezzipxbjht  bloodcancer
2295,rd   ,acalabrutinib shows promise in relapsed refractory mantle cell lymphoma https   t co wdq w qdc    rd     raredisease  mantlecelllymphoma https   t co sdeqtvlfpi
2296,pressreleasepoint,https   t co imp  xyhdw project orbis  fda approves acalabrutinib for cll and sll
2297,the paper link,trend new   overman m  et al  j immunother cancer    randomized phase ii study of the bruton tyrosine kinase inhibitor acalabrutinib  alone or with pembrolizumab in patients with advanced pancreatic cancer   https   t co cwvodyeyoc
2298, siguemeytesigodevuelta,https   t co   vdoo xwy
2299,tap clinical trial network,our trial coordinator bec was on site at  cruk bi  beatson yesterday carrying out the siv for stellar  clinicaltrial  a phase ii  randomised study of chop r in combination with acalabrutinib compared to chop r in patients with newly diagnosed  richterssyndrome   nhsggc  cltap https   t co  s pxzjwgp
2300,journal for immunotherapy of cancer,new  jitc article  randomized phase ii study of the bruton tyrosine kinase inhibitor acalabrutinib  alone or with pembrolizumab in patients with advanced pancreatic cancer  michael overman  aiims     https   t co dl klc yny https   t co pjsukrznds
2301,lymphoma papers,randomized phase ii study of the bruton tyrosine kinase inhibitor acalabrutinib  alone or with pembrolizumab in patients with advanced pancreatic cancer   lymphoma  lymsm https   t co fjw cnev q
2302,tga australia,new  auspar for  calquence   acalabrutinib  for the treatment of  mantle cell lymphoma  https   t co jfrddnqzlc https   t co cpc kjxcfl
2303,aus gov  news,tag   auspar  acalabrutinib https   t co   bbxvbriz
2304,anirban maitra,from  michael overman  amp   cancermedmda colleagues in  jitcancer   a randomized trial of btk inhibitor acalabrutinib v combo with pembro in advanced  pre treated  pancreaticcancer https   t co  qgjryqhcz unfortunately despite compelling preclinical data  the trial was negative  https   t co  woms yxpu
2305,onclive com,a number of therapeutic options have become available in the frontline setting for patients with cll  most recently the second generation btk inhibitor acalabrutinib  leukemia  gotohem  osuccc james https   t co n ze jtjq 
2306,genericdrugs,calquence acalabrutinib     mg              mcl  calquence                                  mcl       https   t co jac a r iv
2307,onclive com,jennifer woyach  md  of  osuccc james discusses the advances in the frontline setting for patients with  cll  and other strategies that are under investigation in this space  leukemia  gotohem https   t co cwokhj  y 
2308,scitrus,today s pick on  oncology   randomized phase ii study of the bruton tyrosine kinase inhibitor acalabrutinib  alone or with pembrolizumab in patients with advanced pancreatic cancer   https   t co wst thqx v https   t co eunnne vkk
2309,oncology learning network,jeff sharman  md   jeff sharman discusses results from the elevate tn trial  which led to the fda approval of acalabrutinib for the management of patients with treatment na ve  cll  listen here  https   t co  sokviww u https   t co  qqgoipuaj
2310,ash clinical news,presented by  jeff sharman at  ash    acalabrutinib  alone or with obinutuzumab  led to greater improvements in progression free survival  compared with obinutuzumab plus chlorambucil  in patients with treatment na ve chronic lymphocytic  leukemia   cll  https   t co xy kkda pl
2311,raul cordoba  md  phd,real world analysis explores current role of  acalabrutinib in  mcl mantle cell  lymphoma  lymsm  rwd  rwe https   t co  tai xyxep
2312,targeted oncology,in our interview  dr  ryan discussed the data on how physicians are currently using acalabrutinib as treatment of patients with mantle cell lymphoma in the real world setting   https   t co ezzipxjijj  mclsm  lymsm
2313,trip database,new trip  acalabrutinib  calquence    mantle cell lymphoma  mcl  https   t co  bsttvep c
2314,tap clinical trial network,we ve just completed the stellar site initiation for  derriford hosp  stellar is a phase ii  randomised study of chop r in combination with acalabrutinib compared to chop r in patients with newly diagnosed  richterssyndrome    clinicaltrials  cltap
2315,targeted oncology,acalabrutinib has demonstrated promising responses and safety in patients with relapsed refractory mcl  however  investigators recently sought to discover how physicians are using acalabrutinib in the real world setting  https   t co ezzipxbjht  mantlecelllymphoma  lymphoma
2316,targeted oncology,dr  ryan discussed the data on how physicians are currently using acalabrutinib as treatment of patients with mcl in the real world setting  https   t co ezzipxbjht  lymsm  mclsm
2317,targeted oncology,two btk inhibitors are available for cll  acalabrutinib and ibrutinib  with acalabrutinib  patients experience less arthralgias compared with ibrutinib  he notes that the rates of bruising and bleeding  however  appear similar between the   agents  https   t co qsnjfsjufm  leusm
2318,targeted oncology,dr  sharman discussed what differentiates acalabrutinib from other btk inhibitors available in chronic lymphocytic leukemia  https   t co qsnjfsjufm  leusm
2319,mednet,acalabrutinib bij macroglobulinemie van waldenstr m https   t co  jrkhn v p https   t co uglshnmnly
2320,shohta kadomura hospital pharmacist, cll           triplet therapy with  acalabrutinib   venetoclax  and  obinutuzumab in patients with treatment na ve chronic lymphocytic leukemia   value based cancer care                https   t co kl hvewdp 
2321,wcm lymphoma,dr  richard furman speaks on use of acalabrutinib as monotherapy in treatment of chronic lymphocytic leukemia   cll   via  onclive  https   t co ira yzzkwh
2322,targeted oncology,dr  sharman discussed what differentiates acalabrutinib from other btk inhibitors available in chronic lymphocytic leukemia  https   t co qsnjfsjufm  leusm
2323,saeid shamsian md,acalabrutinib monotherapy active in waldenstr m macroglobulinemia   oncology learning network https   t co up ebqr cp
2324,trip database,new trip  acalabrutinib  calquence    mantle cell lymphoma  mcl  https   t co  bsttvnefe
2325,jdiegotr,inhibidores de btk  btk   tirosina quinasa de bruton  desempe a un papel central en la maduraci n de las c lulas b  ejemplos  acalabrutinib  calquence  indicaci n  linfoma de c lulas del manto efectos secundarios    trombocitopenia   leucopenia   anemia   fatiga   dolor de cabeza https   t co tqg yn cps
2326,ph abdulluh,btk inhibitors  btk   bruton s tyrosine kinase  it plays a core role in b cell maturation   examples   acalabrutinib  calquence   indication   mantle cell lymphoma  side effects     thrombocytopenia   leucopenia   anemia   fatigue   headache
2327,pharmafactz,btk inhibitors  btk   bruton s tyrosine kinase  it plays a core role in b cell maturation   examples   acalabrutinib  calquence   indication   mantle cell lymphoma  side effects     thrombocytopenia   leucopenia   anemia   fatigue   headache
2328,benlazar s m amin ,acalabrutinib monotherapy in patients with  waldenstr m macroglobulinemia   mmsm https   t co ujqlwhxzss https   t co gqgy jsjrz
2329,paperbirds hematology,new article  pharmacodynamic analysis of btk inhibition in patients with chronic lymphocytic leukemia treated with acalabrutinib  https   t co faoaxls sf  cll  leusm  hematology
2330,lymphoma papers,acalabrutinib monotherapy in patients with waldenstr m macroglobulinemia  a single arm  multicentre  phase   study   lymphoma  lymsm https   t co vrbnrltog 
2331,cure cancer now,pharmacodynamic analysis of btk inhibition in patients with chronic lymphocytic leukemia treated with acalabrutinib https   t co  e tovnxdy
2332,onclive com,the third btk inhibitor to gain  fdaoncology approval  zanubrutinib joins ibrutinib and acalabrutinib  which are both indicated for adults with  mcl who have received    prior therapy  lymphoma  bannermdandersn https   t co   uvcdu k 
2333,onclive soss,  lorilesliemd discusses a retrospective analysis of real world patients with chronic lymphocytic leukemia who were treated with acalabrutinib  calquence   jtcancercenter  leusm https   t co   mqjw xiv
2334,cancernetwork   home of the journal oncology , icymi  the triplet regimen consisting of acalabrutinib  venetoclax  and obinutuzumab appeared highly active as frontline therapy for patients with chronic lymphocytic leukemia  https   t co q z  ckxae https   t co jsvsb tag 
2335,the james,an  ohiostate developed treatment is improving quality of life for some  leukemia patients by reducing side effects  click to learn more about acalabrutinib  recently approved for the treatment of cll and other blood cancers 
2336,onclive com,watch  dr  davids on exciting data with acalabrutinib in  cll  leukemia  drmdavids  danafarber https   t co c rmsrhnim
2337,juan lopez mattei,    yo pt with htn  paroxysmal af  savr  gt    yrs ago with hematological malignancy being tx with acalabrutinib with good response  on asa    mg   apixiban   mg bid that had an ugib   wk ago  what will you change   cardioonc  datsunian  avirupguha  cardiooncology  eimanjahangir
2338,renal cell carcinoma,acalabrutinib and anticd   car tcell therapy for the treatment of bcell lymphoma  this phase iii trial studies the safety of acalabrutinib and axicabtagene ciloleucel in treating patients with bcell lymphoma  acalabrutinib may  https   t co kijfzosbe   renalcell  kidneycancer
2339,paperbirds hematology,new clinical trial acalabrutinib and anti cd   car t cell therapy for the treatment of b cell lymphoma https   t co   s lscri   fl  lymsm  hematology
2340,paperbirds hematology,new clinical trial  acalabrutinib and anti cd   car t cell therapy for the treatment of b cell lymphoma https   t co kyhwtdypq   dlbcl  lymsm  hematology
2341,paperbirds hematology,new clinical trial  acalabrutinib and anti cd   car t cell therapy for the treatment of b cell lymphoma https   t co qqfuhnxe s  tcl  lymsm  hematology
2342,vjhemonc,video  resistance to acalabrutinib in cll is mediated by btk mutations w  jennifer woyach of  ohiostate  https   t co  ikhnwaeem   leusm  hemeonc  ash    ash hematology  vjhemonc
2343,onclive com,watch  dr  davids on exciting data with acalabrutinib in  cll  leukemia  drmdavids  danafarber  harvardmed https   t co wy fpauq  
2344,vjhemonc,video  elevate tn  approval of acalabrutinib for adult cll w   jeff sharman of  wvcancer  https   t co yyre sipub   leusm  lymsm  hemeonc  ash    ash hematology  vjhemonc
2345,onclive com,  awandoc of  utswnews discusses the introduction of acalabrutinib into  cll as well as other paradigm shifting advances with btk inhibitors  novel combinations  and emerging agents  leukemia https   t co tpadn qzjg
2346,hematology advisor,combining acalabrutinib with obinutuzumab may be safe and effective among patients with treatment naive or relapsed refractory  cll https   t co  wjgpunexo
2347,clinicaloncologynews,  jeff sharman from  wvcancer discusses elevate tn results showing benefits of acalabrutinib in cll  https   t co ovvp sb ni
2348, siguemeytesigodevuelta,https   t co jkejnj mk 
2349,adam kittai,acalabrutinib for cll  exciting times to be treating  cll especially at  osuccc james elevate tn  https   t co c tkmeer  
2350,ash clinical news,time limited frontline therapy with acalabrutinib  venetoclax  and obinutuzumab leads to encouraging rates of complete remission with high rates of undetectable measurable residual disease in chronic lymphocytic  leukemia   cll  https   t co khpjcsqogj
2351,raj chakraborty, gt     overall response rate with single agent acalabrutinib in waldenstrom s macroglobulinemia with  gt     remaing progression free at   years  https   t co h off ipk   lymsm  thelancethaem https   t co zpvqhdnabt
